glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOS_cell_line; HEK293_cell_line; NS0_cell_line; brain; brain; cerebellar_cortex,"['diabetic_kidney_disease', 'lung_non_small_cell_carcinoma', 'urinary_bladder_ca",37
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,BMMC_cell_line; B_cell; HL_60_cell_line; HeLaEV2_cell_line; HeLaPF_cell_line; K5,[],37
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOS_cell_line; HEK293_cell_line; HL_60_cell_line; HeLaEV2_cell_line; HeLaPF_cel,['benign_breast_tumor_tissues_vs_para_carcinoma_tissues'],36
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_ce,[],35
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,AML_193_cell_line; EOL_1_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL_60_ce,[],34
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,lipid,blood_serum; brain; brain; brain; cauda_equina; cerebellum; cerebellum; cerebral,['glioblastoma'],34
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,B_cell; CHOS_cell_line; HL_60_cell_line; HeLaEV2_cell_line; K562_cell_line; NS0_,['esophageal_cancer'],32
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; Caco_2_cell_line; Cal-27_cell_line; HEL92_1_7_cell_line; HEL_cell,"['chronic_low_back_pain', 'colorectal_cancer', 'colorectal_cancer', 'diabetic_ki",32
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Caco_2_cell_line; Cervicovaginal_Secretion; HL_60_cell_line; HT_29_cell_line; SW,"['prostate_cancer', 'type_2_diabetes_mellitus', 'urinary_bladder_cancer']",32
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; C10_cell_line; CHOK1_cell_line; Cal-27_cell_line; FaDu_cell_line;,[],31
